"Name";"Type";"Picture";"Description";"Semantics";"CertificateHolderName";"RegistrationDate";"RegistrationNumber";"global_id";
"Герб поселения Сосенское в городе Москве";"Герб";"f644e601-11ba-4939-8993-d7e761f8c521";"В зеленом поле под золотой главой, обремененной пурпурным трилистным крестом между двумя лазоревыми языками пламени, скачущий серебряный единорог с золотыми рогом, глазами и копытами, окруженный по периметру восемью серебряными сосновыми ветками.";"Основой построения герба поселения Сосенское, исходя из преемственности исторических традиций, является герб сельского поселения Сосенское Ленинского муниципального района Московской области.
В связи с присоединением территории сельского поселения Сосенское к субъекту Российской Федерации - городу федерального значения Москве, наименование муниципального образования «сельское поселение Сосенское» было изменено на «поселение Сосенское» и муниципальное образование приобрело статус внутригородского муниципального образования в городе Москве.
Поселение Сосенское расположено на юго- западе города Москвы между Калужским и Киевским шоссе и входит в состав Новомосковского административного округа города Москвы. Название поселения Сосенское происходит от названия протекающей по территории поселения реки «Сосенка», которая, в свою очередь, получила название от сосновых лесов, произраставших на ее берегах, и тому подтверждение сосновые ветви, расположенные в зеленом поле щита. Поэтому герб поселения Сосенское является гласным. Ранее часть территории, включенной в границы современного поселения Сосенское, принадлежала роду Шуваловых. Представитель этого рода Иван Иванович Шувалов - видный государственный деятель России, основатель Московского университета и Российской Академии художеств, действительный член Российской Императорской Академии наук, сподвижник императрицы Елизаветы Петровны, был владельцем этих земель. В фамильном гербе И.И.Шувалова изображен единорог - как символ чистоты, доверия, смелости, духовности и возвышенности. Поэтому в память о выдающемся государственном деятеле Российской империи середины 18 века в гербе поселения Сосенское изображена фигура единорога.
Расположенные на территории поселения Сосенское в городе Москве предприятия газового хозяйства, дочерние компании ПАО «Газпром», символически отражены в гербе поселения Сосенское лазоревыми пламенами. Пурпурный трилистный крест символизирует память о людях, погибших и захороненных в ходе репрессий в 1930-1940-х годах на расстрельном полигоне специального объекта НКВД «Коммунарка». В настоящее время территория бывшего специального объекта НКВД «Коммунарка» передана Русской Православной Церкви и на ней размещен Храм Святых Новомучеников и Исповедников Российских. Зелень - символ весны, радости, плодородия, надежды, возрождения и здоровья. Серебро - символ веры, простоты, благородства и взаимного сотрудничества. Золото - символ прочности, великодушия, богатства и солнечного света. Пурпурный - символ покаяния и скорби.";"Поселение Сосенское в городе Москве";"25.12.2018";"МС № 145/1";"1031077064";
"Флаг поселения Сосенское в городе Москве";"Флаг";"941aad3d-9254-45b0-98f2-cd5470983662";"Флаг поселения Сосенское представляет собой прямоугольное полотнище с отношением ширины к длине 2:3 разделенное по горизонтали на две полосы - желтую и зеленую. На желтой полосе между двумя синими языками газового пламени изображен православный крест малинового цвета. На зеленой полосе изображены единорог белого цвета с желтым рогом и копытами, а также восемь веток сосны белого цвета.";"Основой построения флага поселения Сосенское, исходя из преемственности исторических традиций, является флаг сельского поселения Сосенское Ленинского муниципального района Московской области. В связи с присоединением территории сельского поселения Сосенское к субъекту Российской Федерации - городу федерального значения Москве, наименование муниципального образования «сельское поселение Сосенское» было изменено на «поселение Сосенское» и муниципальное образование приобрело статус внутригородского муниципального образования в городе Москве.
Поселение Сосенское расположено на юго- западе города Москвы между Калужским и Киевским шоссе и входит в состав Новомосковского административного округа города Москвы. Название поселения Сосенское происходит от названия протекающей по территории поселения реки «Сосенка», которая, в свою очередь, получила название от сосновых лесов, произраставших на ее берегах, поэтому восемь сосновых веток на зеленой полосе внизу флага говорят о названии поселения.
Ранее часть территории, включенной в границы современного поселения Сосенское, принадлежала роду Шуваловых. Представитель этого рода Иван Иванович Шувалов - видный государственный деятель России, основатель Московского университета и Российской Академии художеств, действительный член Российской Императорской Академии наук, сподвижник императрицы Елизаветы Петровны, был владельцем этих земель. В фамильном гербе И.И.Шувалова изображен единорог - как символ чистоты, доверия, смелости, духовности и возвышенности. Поэтому в память о выдающемся государственном деятеле Российской империи середины 18 века на флаге поселения Сосенское изображена фигура единорога. Расположенные на территории поселения Сосенское в городе Москве предприятия газового хозяйства, дочерние компании ПАО «Газпром», символически отражены на флаге поселения лазоревыми пламенами. Православный крест малинового цвета символизирует память о людях, погибших и захороненных в ходе репрессий в 1930-1940-х годах на расстрельном полигоне специального объекта НКВД «Коммунарка». В настоящее время территория бывшего специального объекта НКВД «Коммунарка» передана Русской Православной Церкви и на ней размещен Храм Святых Новомучеников и Исповедников Российских. Белый цвет - символ чистоты помысла и дел. Желтый цвет - символизирует стабильность, надежность, устремленность. Зеленый цвет - символ природы, а также надежды и здоровья. Малиновый - символ покаяния и скорби.";"Поселение Сосенское в городе Москве";"25.12.2018";"МС № 145/2";"1031077067";
"Герб поселения Роговское в городе Москве";"Герб";"86708d79-1ac0-4ef6-860e-d276005c336c";"В червленом (красном) поле гирлянда из лавра со свисающими концами между гвардейским кивером XIX века вверху (с султаном и без правого этишкета) и каской советской пехоты внизу; все фигуры золотые.";"Герб языком символов и аллегорий представляет прошлое и настоящее поселения Роговское. Земля поселения Роговское хранит память о героизме русских воинов, защищавших Отечество ценой своей жизни. Как дань уважения героизму русских воинов в населенных пунктах муниципального образования создан целый ряд мемориалов и памятников воинам: в деревне Кузовлево поставлен мемориал Воинской Славы двух Отечественных войн 1812 и 1941-1945 гг. Братские могилы и памятные знаки, установленные на местах былых сражений, есть в Рогово, Тетеринках, Бунчихе, Лопатино, Кресты, Ильино, Спас-Купля. Земля поселения Роговское помнит время двух Отечественных войн. В этих местах в 1812 году генерал М.А.Милорадович дал французам бой при Спас-Купле, здесь под командованием М.И.Кутузова был совершен Тарутинский маневр, который во многом положил начало победам русской армии над французами. В 1941 году по территории поселения проходила линия обороны Москвы от наседавших немецко-фашистских полчищ, здесь насмерть стояли бойцы 43-й армии под командованием генерал-майора К.Д. Голубева. Фигуры герба поселения: кивер, каска и лавровая гирлянда, как символы славы, доблести, мужества, вечной памяти и скорби жителей поселения Роговское отражают подвиг русских и советских воинов, отдавших свои жизни при защите нашего Отчества и города Москвы в тяжелые годы Отечественных войн с захватчиками. Золото - символ высшей ценности, величия, великодушия, богатства. Красный цвет - символ труда, мужества, жизнеутверждающей силы, красоты и праздника.";"Поселение Роговское в городе Москве";"25.12.2018";"МС № 143/1";"1031077291";
"Флаг поселения Роговское в городе Москве";"Флаг";"08bf508c-b0e7-49b2-99ad-1b988dbb9275";"Прямоугольное красное полотнище с отношением ширины к длине 2:3, несущее по середине изображения фигур герба поселения Роговское: кивер, лавровую гирлянду со свисающими концами и каской советской пехоты, выполненные золотым цветом.";"Флаг разработан на основе герба, который языком символов и аллегорий представляет прошлое и настоящее поселения Роговское.
Земля поселения Роговское хранит память о героизме русских воинов, защищавших Отечество ценой своей жизни. Как дань уважения героизму русских воинов в
населенных пунктах муниципального образования создан целый ряд мемориалов и памятников воинам: в деревне Кузовлево поставлен мемориал Воинской Славы двух Отечественных войн 1812 и 1941-1945 гг. Братские могилы и памятные знаки, установленные на местах былых сражений есть в Рогово, Тетеринках, Бунчихе, Лопатино, Кресты, Ильино, Спас-Купля. Роговская земля помнит время двух Отечественных войн. В этих местах в 1812 году генерал М.А. Милорадович дал французам бой при Спас-Купле, здесь под командованием М.И. Кутузова был совершен Тарутинский маневр, который во многом положил начало победам русской армии над Наполеоном. В 1941 году на Роговской земле проходила линия обороны Москвы от наседавших немецко-фашистских полчищ, здесь насмерть стояли бойцы 43-й Армии генерал-майора К.Д.Голубева. Фигуры флага поселения: кивер, каска и лавровая гирлянда - символ славы, доблести, мужества, вечной памяти и скорби жителей поселения Роговское отражают подвиг русских и советских воинов, отдавших свои жизни при защите нашего Отчества и города Москвы в тяжелые годы Отечественных войн с захватчиками. Желтый цвет (золото) - символ высшей ценности, величия, великодушия, богатства. Красный цвет - символ труда, мужества, жизнеутверждающей силы, красоты и праздника.";"Поселение Роговское в городе Москве";"25.12.2018";"МС № 143/2";"1031077437";
"Герб поселения Краснопахорское в городе Москве";"Герб";"70eb128f-1eab-4729-b4ab-7c1316968c38";"В золотом поле червленая фигура, совмещенная из узкого волнистого пояса и пламенеющего солнца (без изображения лица).";"Поселение Краснопахорское расположено на берегах реки Пахра. Красота здешних мест издавна перешла в название многих населенных пунктов, входящих в состав поселения. Это и центр поселения село Красная Пахра, и одноименная деревня, и село и поселок Красное. На Руси слово «красное» часто ассоциировалось не с самим цветом, а с «красотой», (сравните прилагательное «прекрасный, т.е. очень красивый»). В составе поселения - 20 населенных пунктов. Все эти особенности поселения отражены в его гербе. В нем волнистый пояс символизирует реку Пахру, цвет фигуры герба символизирует красоту здешних мест, а 20 солнечных лучей символизируют 20 населенных пунктов, объединенных в поселение. Красный цвет - символ мужества, жизнеутверждающей силы, красоты, праздника - является гласным символом названия поселения Краснопахорское.
Символика солнца многозначна. Как источник тепла, солнце символизирует жизненную силу, страсть, храбрость и вечную молодость. Как источник света, оно символизирует знания, интеллект. Лучи солнца на гербе поселения - аллегория «солнечного ветра» - символизируют открытость людей поселения, их желание нести тепло своих сердец всем гостям поселения, подобно тому, как солнечные лучи несут тепло Земле. Золото - символ высшей ценности, величия, великодушия, богатства, урожая.";"Поселение Краснопахорское в городе Москве";"25.12.2018";"МС № 136/1";"1031080604";
"Флаг поселения Краснопахорское в городе Москве";"Флаг";"76cfbc76-516a-453c-8632-e21c8ffbe342";"Прямоугольное желтое полотнище с соотношением ширины к длине 2:3 несущее в середине красную фигуру из герба поселения (ширина волнистой полосы 1:10 ширины полотнища).";"Поселение Краснопахорское расположено на берегах реки Пахра. Красота здешних мест издавна перешла в название многих населенных пунктов, входящих в состав поселения. Это и центр поселения село Красная Пахра, и одноименная деревня, и село и поселок Красное. На Руси слово «красное» часто ассоциировалось не с самим цветом, а с «красотой», (сравните прилагательное «прекрасный, т.е. очень красивый»). В составе поселения - 20 населенных пунктов. Все эти особенности поселения отражены в его флаге. В нем волнистый пояс символизирует реку Пахру, цвет фигуры герба символизирует красоту здешних мест, а 20 солнечных лучей символизируют 20 населенных пунктов, объединенных в поселение. Красный цвет - символ мужества, жизнеутверждающей силы, красоты, праздника - является гласным символом названия поселения Краснопахорское.
Символика солнца многозначна. Как источник тепла, солнце символизирует жизненную силу, страсть, храбрость и вечную молодость. Как источник света, оно символизирует знания, интеллект. Лучи солнца на флаге поселения - аллегория «солнечного ветра» символизируют открытость людей поселения, их желание нести тепло своих сердец всем гостям поселения, подобно тому, как солнечные лучи несут тепло Земле. Желтый цвет (золото) - символ высшей ценности, величия, великодушия, богатства, урожая.";"Поселение Краснопахорское в городе Москве";"25.12.2018";"МС № 136/2";"1031080605";
"Герб муниципального округа Коньково в городе Москве";"Герб";"802f7d87-d9d5-4ee4-8572-c60c5014775c";"В червлёном поле с треугольной зелёной, нитевидно окаймлённой серебром и обременённой золотой подковой двумя шипами вниз, оконечностью - серебряный, осёдланный и взнузданный золотом, конь, сопровождаемый вверху золотой императорской короной.";"Императорская корона символизирует историческое прошлое муниципального округа Коньково (в прошлом - село Коньково): в 1776 году эти земли стали одной из резиденций императрицы Екатерины II, планировавшей возвести здесь грандиозный дворцовый комплекс для ее внуков Александра и Константина Павловичей. Село Коньково находилось на Калужском тракте. Эта дорога делала здесь крутой подъем, поэтому быстрая езда по ней была нелегкой. Бывало, что в распутицу иной конь и падал, не выдерживая быстрой езды по крутой горе вверх, что нашло отражение в художественной литературе. Серебряный конь и золотая подкова символизируют сюжет из поэмы Семена Кирсанова «Калужское шоссе», содержащей версию возникновения названия «Коньково»: «Конь царский пал. Ему воздвигнуть изваянье, «Коньково» дать сему селению названье». Треугольная оконечность символизирует Теплостановскую возвышенность, на которой располагается муниципальный округ Коньково.
Примененные в гербе цвета символизируют: червлень (красный цвет) - символ храбрости, мужества, неустрашимости, великодушия, любви, огня, теплоты и животворных сил;зеленый цвет - символ жизни, молодости, природы, роста; серебро (белый цвет) - символ чистоты, невинности, верности, надежности и доброты; золото (желтый цвет) - символ солнечной энергии, богатства, силы, устойчивости и процветания.";"Муниципальный округ Коньково в городе Москве";"25.12.2018";"МС № 37/1";"1031080606";
"Флаг муниципального округа Коньково в городе Москве";"Флаг";"09ffa300-cc18-42d4-8d58-07b623c6d0eb";"Прямоугольное двухстороннее полотнище с отношением ширины к длине 2:3, воспроизводящее фигуры из герба муниципального округа Коньково, выполненные красным, зеленым, белым и желтым цветом.";"Флаг муниципального округа Коньково создан на основе герба муниципального округа Коньково и повторяет его символику.
Императорская корона символизирует историческое прошлое муниципального округа Коньково (в прошлом - село Коньково): в 1776 году эти земли стали одной из резиденций императрицы Екатерины II, планировавшей возвести здесь грандиозный дворцовый комплекс для ее внуков Александра и Константина Павловичей.
Село Коньково находилось на Калужском тракте. Эта дорога делала здесь крутой подъем, поэтому быстрая езда по ней была нелегкой. Бывало, что в распутицу иной конь и падал, не выдерживая быстрой езды по крутой горе вверх, что нашло отражение в художественной литературе.
Белый конь, императорская корона и желтая подкова символизируют сюжет из поэмы Семена Кирсанова «Калужское шоссе», содержащей версию возникновения названия «Коньково»: «Конь царский пал. Ему воздвигнуть изваянье, «Коньково» дать сему селению названье». Треугольная оконечность символизирует Теплостановскую возвышенность, на которой располагается муниципальный округ Коньково.
Примененные во флаге цвета символизируют: красный цвет (червлень) - символ храбрости, мужества, неустрашимости, великодушия, любви, огня, теплоты и животворных сил;
зеленый цвет - символ жизни, молодости, природы, роста; белый цвет (серебро) - символ чистоты, невинности, верности, надежности и доброты; желтый цвет (золото) - символ солнечной энергии, богатства, силы, устойчивости и процветания.";"Муниципальный округ Коньково в городе Москве";"25.12.2018";"МС № 37/2";"1031080657";
"Герб муниципального округа Лосиноостровский в городе Москве";"Герб";"4a3d777a-663d-45bd-992a-5e0425ac7e67";"В скошенном лазоревом и зеленом поле - справа в зелени три серебряных отвлеченно растущих дерева: сосна между менее высокими березой и елью; слева поверх деления - стоящий прямо и обернувшийся влево лось.";"Золотой лось символизирует название муниципального округа и двух расположенных в нем крупных железнодорожных станций Ярославской железной дороги - «Лось» и »Лосиноостровская». Серебряные силуэты деревьев символизируют богатую флору муниципального округа Лосиноостровский - украшение, богатство и «легкие» Москвы. Здесь, в одном из самых зеленых округов Москвы, растет множество хвойных и лиственных пород деревьев. Примененные в гербе цвета символизируют:
зеленый цвет - символ весны, природы, надежды, роста, здоровья; лазурь (синий цвет) - символ возвышенных стремлений, преданности, мира; золото (желтый цвет) - символ высшей ценности, величия, и богатства, урожая; серебро (белый цвет) - символ чистоты, открытости, божественной мудрости, примирения.";"Муниципальный округ Лосиноостровский в городе Москве";"25.12.2018";"МС № 51/1";"1031080711";
"Флаг муниципального округа Лосиноостровский в городе Москве";"Флаг";"e94c0034-7818-45fe-b324-bc1f3e5922ae";"Прямоугольное двухстороннее полотнище с отношением ширины к длине 2:3, воспроизводящее фигуры из герба муниципального округа Лосиноостровский, выполненные зеленым, синим, желтым и белым цветом.";"Флаг муниципального округа Лосиноостровский выполнен на основе герба муниципального округа Лосиноостровский и повторяет его символику. Желтый лось символизирует название муниципального округа и двух расположенных в нем крупных железнодорожных станций Ярославской железной дороги - «Лось» и «Лосиноостровская».
Белые силуэты деревьев символизируют богатую флору муниципального округа Лосиноостровский - украшение, богатство и «легкие» Москвы. Здесь, в одном из самых зеленых округов Москвы, растет множество хвойных и лиственных пород деревьев. Примененные во флаге цвета символизируют: зеленый цвет - символ весны, природы, надежды, роста, здоровья; синий цвет (лазурь) - символ возвышенных устремлений, преданности, мира; желтый цвет (золото) - символ высшей ценности, величия, богатства, урожая; белый цвет (серебро) - символ чистоты, открытости, божественной мудрости, примирения.";"Муниципальный округ Лосиноостровский в городе Москве";"25.12.2018";"МС № 51/2";"1031080721";
"Герб муниципального округа Некрасовка в городе Москве";"Герб";"6e1bcf0b-0aa7-4a3d-a068-5c7cbb46edb8";"В зеленом поле - золотой безант с каймой, мурованной в два ряда с черными швами, и поверх всего - серебряная и лазоревая перевязь, вверху выщербленная, внизу чешуевидная и дважды просечённая соответственно, части которой переменяют цвета в безанте.";"Исстари на месте современного муниципального округа Некрасовка находилось село Бедрино, ставшее в 20-х годах XIX века прекрасной подмосковной усадьбой с красивым парком, оранжереями, фруктовым садом, искусственными водоемами.
Золотой круг с мурованной каймой и наложенной серебряно-голубой шиповидной перевязью указывают на наличие на территории муниципального округа одного из крупнейших в мире и крупнейшего в Европе комплекса очистных сооружений - Люберецких очистных сооружений АО «Мосводоканал». Этот комплекс сооружений мощностью три миллиона кубометров сточных вод в сутки существует здесь с 1884 года, когда впервые земли нынешнего муниципального округа Некрасовка были выкуплены Московской Городской Управой для расширения. Примененные в гербе цвета символизируют:
зеленый цвет - символ жизни, молодости, природы, роста, здоровья; лазурь (голубой цвет) - символ чести, красоты, благородства, духовности и чистого неба; серебро (белый цвет) - символ чистоты, невинности, верности, надежности и доброты;
золото (желтый цвет) - символ высшей ценности, солнечной энергии, богатства, силы, устойчивости и процветания.";"Муниципальный округ Некрасовка в городе Москве";"25.12.2018";"МС № 66/1";"1031080771";
"Флаг муниципального округа Некрасовка в городе Москве";"Флаг";"9d523d31-f24e-477d-a2ec-430f6fe99b2b";"Прямоугольное двухстороннее полотнище с отношением ширины к длине 2:3, воспроизводящее фигуры из герба муниципального округа Некрасовка, выполненные зеленым, голубым, белым и желтым цветом.";"Флаг муниципального округа Некрасовка создан на основе герба муниципального округа Некрасовка и повторяет его символику. Исстари на месте современного муниципального округа Некрасовка находилось село Бедрино, ставшее в 20-х годах XIX века прекрасной подмосковной усадьбой с красивым парком, оранжереями, фруктовым садом, искусственными водоемами. Желтый круг с мурованной каймой и наложенной серебряно-голубой шиповидной перевязью указывают на наличие на территории муниципального округа одного из крупнейших в мире и крупнейшего в Европе комплекса очистных сооружений - Люберецких очистных сооружений АО «Мосводоканал». Этот комплекс сооружений мощностью три миллиона кубометров сточных вод в сутки существует здесь с 1884 года, когда впервые земли нынешнего муниципального округа Некрасовка были выкуплены Московской Городской Управой для расширения. Примененные во флаге цвета символизируют:
зеленый цвет - символ жизни, молодости, природы, роста, здоровья; голубой цвет (лазурь) - символ чести, красоты, благородства, духовности и чистого неба; белый цвет (серебро) - символ чистоты, невинности, верности, надежности и доброты;
желтый цвет (золото) - символ высшей ценности, солнечной энергии, богатства, силы, устойчивости и процветания.";"Муниципальный округ Некрасовка в городе Москве";"25.12.2018";"МС № 66/2";"1031080780";
"Герб муниципального округа Обручевский в городе Москве";"Герб";"a3a65490-0ad5-487a-ab02-3da174e3e086";"В зелёном поле - чёрное кольцо (обруч), тонко окаймлённое золотом, с сидящим на нём золотым, с червлёными клювом и лапами и с распростёртыми и воздетыми крыльями, обращённым вправо орлом; и в кольце - серебряная раскрытая книга с червлёным обрезом и золотой обложкой.";"Символика фигуры орла многозначна. Орел символизирует храбрость, веру, величие и власть, а его распростертые крылья - стремление вперед, в будущее, способность преодолевать трудности. Взлетающий орел символизирует историческое событие, произошедшее на территории муниципального округа Обручевский во время Отечественной войны 1812 года: здесь была предпринята попытка создать воздушный шар (с крыльями) для обстрела французских войск с воздуха (тогда эти земли входили в имение графа Воронцова, ныне - Воронцовский парк). Стилизованная литера «О», образованная черным обручем, символизирует заглавную букву в современном названии муниципального округа Обручевский, носящего имя путешественника, палеонтолога, популяризатора науки, академика Владимира Афанасьевича Обручева. Раскрытая серебряная книга с красным переплетом символизирует расположение на территории муниципального округа нескольких научно - исследовательских институтов.
Примененные в гербе цвета символизируют: зеленый цвет - символ жизни, молодости, природы, роста, здоровья; червлень (красный цвет) - символ труда, мужества, жизнеутверждающей силы, красоты и праздника; черный цвет - символ плодородия, мудрости, скромности, вечности бытия; серебро (белый цвет) - символ чистоты, невинности, верности, надежности и доброты; золото (желтый цвет) - символ высшей ценности, солнечной энергии, богатства, силы, устойчивости и процветания.";"Муниципальный округ Обручевский в городе Москве";"25.12.2018";"МС № 71/1";"1031080815";
"Флаг муниципального округа Обручевский в городе Москве";"Флаг";"1e06fd3c-9086-4766-b280-82c061014e97";"Прямоугольное двухстороннее зеленое полотнище с отношением ширины к длине 2:3, воспроизводящее фигуры из герба муниципального округа Обручевский, выполненные черным, красным, белым и желтым цветом.";"Флаг муниципального округа Обручевский создан на основе герба муниципального округа Обручевский и повторяет его символику. Символика фигуры орла многозначна. Орел символизирует храбрость, веру, величие и власть, а его распростертые крылья - стремление вперед, в будущее, способность преодолевать трудности. Взлетающий орел символизирует историческое событие, произошедшее на территории муниципального округа Обручевский во время Отечественной войны 1812 года: здесь была предпринята попытка создать воздушный шар (с крыльями) для обстрела французских войск с воздуха (тогда эти земли входили в имение графа Воронцова, ныне - Воронцовский парк). Стилизованная литера «О», образованная черным обручем, символизирует заглавную букву в современном названии муниципального округа Обручевский, носящего имя путешественника, палеонтолога, популяризатора науки, академика Владимира Афанасьевича Обручева. Раскрытая книга с красным переплетом символизирует расположение на территории муниципального округа нескольких научно - исследовательских институтов.
Примененные во флаге цвета символизируют: зеленый цвет - символ жизни, молодости, природы, роста, здоровья; красный цвет (червлень) - символ труда, мужества, жизнеутверждающей силы, красоты и праздника; черный цвет - символ плодородия, мудрости, скромности, вечности бытия; белый цвет (серебро) - символ чистоты, невинности, верности, надежности и доброты;
желтый цвет (золото) - символ высшей ценности, солнечной энергии, богатства, силы, устойчивости и процветания.";"Муниципальный округ Обручевский в городе Москве";"25.12.2018";"МС № 71/2";"1031080822";
